               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.13136,            0.055004,            0.012546,             0.45543,             0.23997,             0.21501,            0.077486,             0.12283,             0.03628,            0.016936,           0.0096535,           0.0096535,           0.0096535
                  37,             0.13135,             0.05429,            0.012398,             0.50465,             0.23211,             0.21727,            0.078881,             0.12269,            0.036345,             0.01677,           0.0096436,           0.0096436,           0.0096436
                  38,             0.13145,             0.05544,            0.012678,             0.46271,             0.24719,             0.21924,            0.079712,             0.12261,            0.036358,            0.016726,           0.0096337,           0.0096337,           0.0096337
                  39,             0.13148,            0.054911,             0.01197,             0.42865,             0.25062,             0.22245,            0.081007,             0.12253,            0.036404,            0.016693,           0.0096238,           0.0096238,           0.0096238
                  40,             0.13115,            0.054909,            0.012474,             0.43266,             0.25143,             0.22556,            0.081653,             0.12245,            0.036503,            0.016715,           0.0096139,           0.0096139,           0.0096139
                  41,               0.131,            0.055221,            0.013014,             0.49523,             0.24167,             0.22537,            0.082703,             0.12231,            0.036514,             0.01676,            0.009604,            0.009604,            0.009604
                  42,             0.13151,            0.055613,            0.013154,             0.43519,              0.2576,              0.2253,            0.082663,             0.12223,             0.03656,            0.016744,           0.0095941,           0.0095941,           0.0095941
                  43,             0.13122,            0.055687,            0.012018,             0.44487,             0.25183,             0.22731,            0.083739,             0.12212,            0.036571,            0.016634,           0.0095842,           0.0095842,           0.0095842
                  44,             0.13143,            0.054355,            0.012344,             0.44355,             0.25204,             0.22807,            0.084685,             0.12199,            0.036603,            0.016465,           0.0095743,           0.0095743,           0.0095743
                  45,             0.13116,            0.055632,            0.012019,             0.44556,             0.25381,             0.23027,            0.086266,              0.1219,            0.036638,            0.016366,           0.0095644,           0.0095644,           0.0095644
